date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:36:34	63070/63070	---MCZ	200	added ('OK')	text/html	etag:W/%22c5c3ffb713a03b18aa44215670b349a0%22	https://www.codingwebstudio.com/livepreview/Digital%20website/index.html	C:/Users/User/Downloads/UNIDEV/www.codingwebstudio.com/livepreview/Digital%20website/index.html	(from )
13:36:34	188/188	---M--	200	added ('OK')	text/plain	etag:%22aa889120aeaa5a3d2ca0478582ef3eda%22	https://www.codingwebstudio.com/robots.txt		(from )
13:36:35	52/52	---MCZ	302	error ('Found')	text/plain	date:Wed,%2007%20Feb%202024%2006:39:58%20GMT	https://unpkg.com/aos@next/dist/aos.css	C:/Users/User/Downloads/UNIDEV/unpkg.com/aos@next/dist/aos.1.delayed	(from https://www.codingwebstudio.com/livepreview/Digital%20website/index.html)
13:36:35	28765/28765	---MCZ	200	added ('OK')	text/css	etag:%22705d-miajSdIaS4cfRd/RJKQ/raT5S5g%22	https://unpkg.com/aos@3.0.0-beta.6/dist/aos.css	C:/Users/User/Downloads/UNIDEV/unpkg.com/aos@3.0.0-beta.6/dist/aos.css	(from https://www.codingwebstudio.com/livepreview/Digital%20website/index.html)
13:36:35	1244/1244	---MCZ	200	added ('OK')	text/css	etag:W/%22ce165171cc7b44a00a3d260e117d49e9%22	https://www.codingwebstudio.com/livepreview/Digital%20website/css/easy.css	C:/Users/User/Downloads/UNIDEV/www.codingwebstudio.com/livepreview/Digital%20website/css/easy.css	(from https://www.codingwebstudio.com/livepreview/Digital%20website/index.html)
13:36:35	4570/4570	---MCZ	200	added ('OK')	text/css	etag:W/%22d0e50858ad9e6e224a1ee04f138d8d4a%22	https://www.codingwebstudio.com/livepreview/Digital%20website/css/slick.min.css	C:/Users/User/Downloads/UNIDEV/www.codingwebstudio.com/livepreview/Digital%20website/css/slick.min.css	(from https://www.codingwebstudio.com/livepreview/Digital%20website/index.html)
13:36:35	39122/39122	---MCZ	200	added ('OK')	text/css	etag:W/%22707587187c415f1c2d9eada6d716671e%22	https://www.codingwebstudio.com/livepreview/Digital%20website/css/style.css	C:/Users/User/Downloads/UNIDEV/www.codingwebstudio.com/livepreview/Digital%20website/css/style.css	(from https://www.codingwebstudio.com/livepreview/Digital%20website/index.html)
13:36:36	11426/11426	---MCZ	200	added ('OK')	text/css	etag:W/%22f89104a04954eac8f31c201f9ebc9124%22	https://www.codingwebstudio.com/livepreview/Digital%20website/css/responsive.css	C:/Users/User/Downloads/UNIDEV/www.codingwebstudio.com/livepreview/Digital%20website/css/responsive.css	(from https://www.codingwebstudio.com/livepreview/Digital%20website/index.html)
13:36:36	1604/1604	---M--	200	added ('OK')	image/png	etag:%22437223638d698633672ebe9aade2d51e%22	https://www.codingwebstudio.com/livepreview/Digital%20website/Images/fave_icon.png	C:/Users/User/Downloads/UNIDEV/www.codingwebstudio.com/livepreview/Digital%20website/Images/fave_icon.png	(from https://www.codingwebstudio.com/livepreview/Digital%20website/index.html)
13:36:37	102217/102217	---M-Z	200	added ('OK')	text/css	etag:%2264cac444-54a3%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.2/css/all.min.css	C:/Users/User/Downloads/UNIDEV/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.2/css/all.min.css	(from https://www.codingwebstudio.com/livepreview/Digital%20website/index.html)
13:36:37	3367/3367	---M--	200	added ('OK')	image/png	etag:%22213356927c578e91dc2d46ca1dac485c%22	https://www.codingwebstudio.com/livepreview/Digital%20website/Images/logo.png	C:/Users/User/Downloads/UNIDEV/www.codingwebstudio.com/livepreview/Digital%20website/Images/logo.png	(from https://www.codingwebstudio.com/livepreview/Digital%20website/index.html)
13:36:37	1434/1434	---MCZ	200	added ('OK')	text/html	etag:W/%22ebba47f2e727bf95e84cd62add383f2a%22	https://www.codingwebstudio.com/livepreview/Digital%20website/comingsoon.html	C:/Users/User/Downloads/UNIDEV/www.codingwebstudio.com/livepreview/Digital%20website/comingsoon.html	(from https://www.codingwebstudio.com/livepreview/Digital%20website/index.html)
13:36:37	11387/11387	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%229715fde18cb03ae8c20cb0f46332250e%22	https://www.codingwebstudio.com/livepreview/Digital%20website/coming_soon.html	C:/Users/User/Downloads/UNIDEV/www.codingwebstudio.com/livepreview/Digital%20website/coming_soon.html	(from https://www.codingwebstudio.com/livepreview/Digital%20website/index.html)
13:36:37	11387/11387	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%229715fde18cb03ae8c20cb0f46332250e%22	https://www.codingwebstudio.com/livepreview/Digital%20website/about.html	C:/Users/User/Downloads/UNIDEV/www.codingwebstudio.com/livepreview/Digital%20website/about.html	(from https://www.codingwebstudio.com/livepreview/Digital%20website/index.html)
13:36:37	11387/11387	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%229715fde18cb03ae8c20cb0f46332250e%22	https://www.codingwebstudio.com/livepreview/Digital%20website/contact.html	C:/Users/User/Downloads/UNIDEV/www.codingwebstudio.com/livepreview/Digital%20website/contact.html	(from https://www.codingwebstudio.com/livepreview/Digital%20website/index.html)
13:36:38	11387/11387	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%229715fde18cb03ae8c20cb0f46332250e%22	https://www.codingwebstudio.com/livepreview/Digital%20website/services.html	C:/Users/User/Downloads/UNIDEV/www.codingwebstudio.com/livepreview/Digital%20website/services.html	(from https://www.codingwebstudio.com/livepreview/Digital%20website/index.html)
13:36:38	11387/11387	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%229715fde18cb03ae8c20cb0f46332250e%22	https://www.codingwebstudio.com/livepreview/Digital%20website/pricing.html	C:/Users/User/Downloads/UNIDEV/www.codingwebstudio.com/livepreview/Digital%20website/pricing.html	(from https://www.codingwebstudio.com/livepreview/Digital%20website/index.html)
